#temps  Wn_tot  -Wt_tot  Wp_tot  Wint_tot  KEr_tot  
0.792 0.00451828 0.659476 6.0426 3.8411 0.349271
0.794 0.00452046 0.659901 6.04564 3.84303 0.3493
0.796 0.004523 0.660327 6.04869 3.84496 0.34933
0.798 0.00452566 0.660751 6.05173 3.84689 0.349358
0.8 0.0045284 0.661176 6.05477 3.84882 0.349387
0.802 0.00453085 0.6616 6.05781 3.85074 0.349414
0.804 0.00453349 0.662025 6.06085 3.85266 0.349441
0.806 0.00453631 0.662451 6.06389 3.85458 0.349469
0.808 0.00453944 0.662878 6.06693 3.8565 0.349497
0.81 0.00454232 0.663303 6.06997 3.85842 0.349522
0.812 0.00454549 0.663729 6.07301 3.86034 0.349549
0.814 0.00454906 0.664156 6.07605 3.86225 0.349573
0.816 0.00455169 0.664586 6.07909 3.86416 0.349598
0.818 0.00455411 0.665015 6.08213 3.86607 0.349623
0.82 0.00455656 0.665447 6.08516 3.86798 0.34965
0.822 0.00455917 0.665878 6.0882 3.86988 0.349677
0.824 0.00456192 0.666312 6.09122 3.87178 0.349706
0.826 0.00456441 0.666745 6.09425 3.87367 0.349735
0.828 0.00456678 0.667181 6.09727 3.87557 0.349765
0.83 0.00456914 0.667617 6.10029 3.87745 0.349794
0.832 0.00457166 0.668055 6.10331 3.87933 0.349822
0.834 0.0045745 0.668494 6.10632 3.88121 0.349851
0.836 0.00457772 0.668935 6.10933 3.88309 0.349879
0.838 0.00458081 0.669378 6.11234 3.88496 0.349908
0.84 0.00458419 0.669824 6.11535 3.88683 0.349933
0.842 0.00458742 0.670272 6.11835 3.8887 0.349959
0.844 0.00459083 0.670722 6.12135 3.89057 0.349989
0.846 0.00459476 0.671175 6.12435 3.89243 0.350021
0.848 0.00459814 0.671628 6.12734 3.89428 0.350046
0.85 0.00460145 0.672085 6.13033 3.89614 0.350077
0.852 0.00460511 0.672541 6.13333 3.89799 0.350104
0.854 0.00460824 0.673002 6.13631 3.89985 0.350134
0.856 0.00461164 0.673461 6.1393 3.90169 0.350158
0.858 0.00461545 0.673925 6.14229 3.90355 0.350184
0.86 0.0046187 0.674387 6.14527 3.90538 0.350209
0.862 0.00462204 0.674854 6.14825 3.90723 0.350235
0.864 0.00462509 0.675319 6.15122 3.90906 0.350259
0.866 0.00462888 0.675786 6.1542 3.9109 0.350283
0.868 0.00463155 0.676252 6.15717 3.91273 0.350308
0.87 0.00463524 0.67672 6.16014 3.91456 0.350333
0.872 0.00463789 0.677188 6.16311 3.91638 0.350358
0.874 0.00464095 0.677657 6.16608 3.9182 0.350379
0.876 0.00464356 0.678126 6.16904 3.92002 0.350405
0.878 0.00464618 0.678595 6.172 3.92183 0.35043
0.88 0.00464877 0.679066 6.17496 3.92364 0.35046
0.882 0.00465167 0.679535 6.17791 3.92544 0.350478
0.884 0.00465367 0.680005 6.18086 3.92723 0.3505
0.886 0.0046559 0.680473 6.18381 3.92902 0.350518
0.888 0.00465762 0.680942 6.18676 3.93081 0.350537
0.89 0.00465942 0.68141 6.18971 3.93258 0.350557
0.892 0.00466109 0.681877 6.19266 3.93436 0.35058
0.894 0.0046628 0.682344 6.19561 3.93613 0.350602
0.896 0.00466473 0.68281 6.19857 3.9379 0.350625
0.898 0.00466631 0.683275 6.20152 3.93967 0.350649
0.9 0.00466845 0.683739 6.20448 3.94144 0.350673
0.902 0.00467039 0.684203 6.20743 3.9432 0.3507
0.904 0.00467318 0.684667 6.21039 3.94496 0.350726
0.906 0.00467472 0.68513 6.21335 3.94671 0.350748
0.908 0.00467644 0.685593 6.2163 3.94846 0.350773
